CONCEPTICON_ID	GLOSS	SEMANTIC_FIELD	ONTOLOGICAL_CATEGORY	ILI	POS
4022	SUBMARINE	Modern world	Person/Thing		n
4023	VIOLIN	Speech and language	Person/Thing		n
4024	SAXOPHONE	Speech and language	Person/Thing		n
4025	LANTERN	The house	Person/Thing		n
4026	SAILBOAT	Motion	Person/Thing		n
4027	BATHTUB	Modern world	Person/Thing		n
4028	ASHTRAY	The house	Person/Thing		n
4029	BABY CARRIAGE	Modern world	Person/Thing		n
4030	DOORKNOB	The house	Person/Thing		n
4031	IRON (PRESSING)	Modern world	Person/Thing		n
4032	KITE (TOY)	The physical world	Person/Thing		n
4033	ELEVATOR	Modern world	Person/Thing		n
4034	SANDALS	Clothing and grooming	Person/Thing		n
4035	SWEATER	Clothing and grooming	Person/Thing		n
4036	GARBAGE CAN	Modern world	Person/Thing		n
4037	CHEERFUL	Emotions and values	Property		a
4038	FUNNY	Emotions and values	Property		a
4039	CRYSTAL	The physical world	Person/Thing		n
4040	WISDOM	Cognition	Person/Thing		n
4041	SALAD	Food and drink	Person/Thing		n
4042	PLANET	The physical world	Person/Thing		n
4043	STATION	Modern world	Person/Thing		n
4044	INFORMATION	Speech and language	Person/Thing		n
4045	ALTHOUGH	Miscellaneous function words	Other		n
4046	ALMOST	Miscellaneous function words	Other		n
4047	TWISTED	Motion	Property		a
4048	INHABITANT	Social and political relations	Person/Thing		n
4049	JUSTICE	Law	Person/Thing		n
4050	SAILOR	Basic actions and technology	Person/Thing		n
4051	BEAUTY	Emotions and values	Person/Thing		n
4052	INDIFFERENT	Emotions and values	Property		a
4053	MODEST	Emotions and values	Property		a
4054	MELODY	The physical world	Person/Thing		n
4055	DRESSER	The house	Person/Thing		n
4056	CHAOS	Emotions and values	Person/Thing		n
4057	ANGEL	Religion and belief	Person/Thing		n
4058	ACCIDENT	Basic actions and technology	Person/Thing		n
4059	PALACE	The house	Person/Thing		n
4060	PASSION	Emotions and values	Person/Thing		n
4061	PARSLEY	Agriculture and vegetation	Person/Thing		n
4062	FUN	Emotions and values	Person/Thing		n
4063	PLUM	Agriculture and vegetation	Person/Thing		n
4064	RUBBER	Modern world	Person/Thing		n
4065	FOR	Miscellaneous function words	Other		n
4066	POVERTY	Social and political relations	Person/Thing		n
4067	ARROGANT	Emotions and values	Property		a
4068	BIBLE	Religion and belief	Person/Thing		n
4069	HUMBLE	Emotions and values	Property		a
4070	ROCKET	Modern world	Person/Thing		n
4071	THEFT	Law	Person/Thing		n
4072	DRAWER	The house	Person/Thing		n
4073	WHEELBARROW	Agriculture and vegetation	Person/Thing		n
4074	DOLPHIN-LIKE WHALE (DOLPHIN OR PORPOISE)	Animals	Person/Thing		n
4075	MOMENT	Time	Person/Thing		n
4076	DEVELOPMENT	Cognition	Person/Thing		n
4077	TRIANGLE	Basic actions and technology	Person/Thing		n
4078	QUALITY	Cognition	Person/Thing		n
4079	LIGHTHOUSE	Basic actions and technology	Person/Thing		n
