CONCEPTICON_ID	GLOSS	SEMANTIC_FIELD	ONTOLOGICAL_CATEGORY	ILI	POS
1002	STATUE	Basic actions and technology	Person/Thing	i59503	n
1003	PERMIT	Social and political relations	Action/Process	i25686	v
1004	MUSCLE	The body	Person/Thing		n
1005	TWINS	Kinship	Person/Thing	i93814	n
1006	BRICK	The house	Person/Thing	i51122	n
1007	COW	Animals	Person/Thing	i48238	n
1008	BULL	Animals	Person/Thing	i48237	n
1009	CHESTNUT TREE	Agriculture and vegetation	Person/Thing		n
1010	BOUNDARY	Social and political relations	Person/Thing	i110004	n
1011	BRIDGE	Motion	Person/Thing	i51129	n
1012	LATCH	The house	Person/Thing	i50929	n
1013	FRESHWATER EEL	Animals	Person/Thing	i48965	n
1014	OR	Cognition	Other		n
1015	SOIL	The physical world	Action/Process		v
1016	DRIZZLE	The physical world	Person/Thing		n
1017	APPEARANCE	The body	Person/Thing		n
1018	MEMORY	Cognition	Person/Thing		n
1019	RIGHT	Spatial relations	Property	i20800	r
1020	HANDKERCHIEF	Clothing and grooming	Person/Thing		n
1021	TOWEL	Clothing and grooming	Person/Thing	i60410	n
1022	BOOTY	Warfare and hunting	Person/Thing	i106350	n
1023	STUMP OF TREE	Agriculture and vegetation	Person/Thing		n
1024	CHARACTER	Speech and language	Person/Thing		n
1025	WHISTLE	Speech and language	Action/Process	i26788	v
1026	LOW TIDE	The physical world	Person/Thing	i75604	n
1027	BUG	Animals	Person/Thing		n
1028	YAWN	The body	Action/Process	i21803	v
1029	JEWEL	Clothing and grooming	Person/Thing	i55256	n
1030	NECESSARY	Cognition	Other		n
1031	ON PURPOSE	Emotions and values	Other		n
1032	CITIZEN	Social and political relations	Person/Thing	i88995	n
1033	GRIND	Food and drink	Action/Process	i23390	v
1034	DEFENDANT	Law	Person/Thing	i88054	n
1035	GOOD	Emotions and values	Property	i6163	a
1036	OWNER	Possession	Person/Thing		n
1037	ELF	Religion and belief	Person/Thing		n
1038	TEACHER	Cognition	Person/Thing	i93557	n
1039	SHOW	Sense perception	Action/Process	i26230	v
1040	HAIR	The body	Person/Thing	i64568	n
1041	INCREASE	Basic actions and technology	Action/Process		v
1042	CARPENTER	Basic actions and technology	Person/Thing	i88838	n
1043	BRAID	Clothing and grooming	Person/Thing		n
1044	PILLOW	The house	Person/Thing	i57285	n
1045	POET	Speech and language	Person/Thing	i92096	n
1046	SHUT	Spatial relations	Action/Process	i28418	v
1047	PURSUE	Motion	Action/Process	i31743	v
1048	LINE	Spatial relations	Person/Thing	i109781	n
1049	MOLAR TOOTH	The body	Person/Thing	i64850	n
1050	MOTHER-IN-LAW	Kinship	Person/Thing		n
1051	CAN	Modern world	Person/Thing	i51426	n
1052	LIGHT (WEIGHT)	Sense perception	Property	i6491	a
1053	HUNTER	Warfare and hunting	Person/Thing		n
1054	SMALLPOX	The body	Person/Thing		n
1055	FATHER-IN-LAW	Kinship	Person/Thing		n
1056	SON-IN-LAW	Kinship	Person/Thing		n
1057	DAUGHTER-IN-LAW	Kinship	Person/Thing		n
1058	STEPDAUGHTER	Kinship	Person/Thing	i93309	n
1059	STEPSON	Kinship	Person/Thing	i93313	n
1060	CHILD-IN-LAW	Kinship	Person/Thing		n
1061	ARMOUR	Warfare and hunting	Person/Thing	i50158	n
1062	LAW	Law	Person/Thing	i81481	n
1063	NEPHEW	Kinship	Person/Thing	i91586	n
1064	SHIELD	Warfare and hunting	Person/Thing	i58788	n
1065	SPIDER WEB	Animals	Person/Thing	i59309	n
1066	CRIME	Modern world	Person/Thing	i39442	n
1067	JUDGMENT	Law	Person/Thing	i41619	n
1068	COURT	Law	Person/Thing	i55582	n
1069	GLUE	Basic actions and technology	Person/Thing	i114258	n
1070	BUS	Modern world	Person/Thing	i51285	n
1071	HOOK	Warfare and hunting	Person/Thing	i54885	n
1072	PRISONER	Warfare and hunting	Person/Thing	i92258	n
1073	CAPTIVE	Warfare and hunting	Person/Thing		n
1074	FISHHOOK	Warfare and hunting	Person/Thing	i53774	n
1075	TRAP (PITFALL)	Warfare and hunting	Person/Thing	i60491	n
1076	EMERGE (APPEAR)	Basic actions and technology	Action/Process		v
1077	WHEAT	Agriculture and vegetation	Person/Thing	i100958	n
1078	MAIN	Cognition	Other		n
1079	FEEL	Sense perception	Action/Process	i27670	v
1080	VULGAR	Emotions and values	Property		a
1081	BILL	Possession	Person/Thing	i70710	n
1082	MERCHANT	Possession	Person/Thing	i91316	n
1083	MESS	The physical world	Person/Thing		n
1084	CALL	Speech and language	Action/Process	i25642	v
1085	FOLLOW	Motion	Action/Process	i31731	v
1086	WORK (ACTIVITY)	Basic actions and technology	Action/Process		v
1087	CONCEIVE	The body	Action/Process	i22044	v
1088	SINK (DESCEND)	Motion	Action/Process	i31666	v
1089	FRAXINUS	Agriculture and vegetation	Person/Thing		n
1090	BE BORN	The body	Action/Process	i23539	v
1091	SALTY	Sense perception	Property		a
1092	HOPE	Emotions and values	Action/Process		v
1093	MIDDLE	Spatial relations	Person/Thing	i81841	n
1094	FASTEN	Basic actions and technology	Action/Process		v
1095	LET GO OR SET FREE	Possession	Action/Process	i29090	v
1096	SONG	Modern world	Person/Thing	i73707	n
1097	ABANDON	Motion	Action/Process		v
1098	WEIGH	Possession	Action/Process	i35181	v
1099	RESIDE	The house	Action/Process		v
1100	COOK (SOMETHING)	Food and drink	Action/Process	i30054	v
1101	SUFFER	The body	Action/Process		v
1102	CLIMB	Motion	Action/Process	i31325	v
1103	SACRIFICE	Religion and belief	Person/Thing	i36604	n
1104	NURSE	Modern world	Person/Thing	i91672	n
1105	CAMP	The house	Person/Thing	i51414	n
1106	FALL ASLEEP	The body	Action/Process		v
1107	GO OUT	Motion	Action/Process	i31816	v
1108	UNCOVER	Basic actions and technology	Action/Process		v
1109	WOUND	The body	Person/Thing	i111428	n
1110	SHARK	Animals	Person/Thing	i43092	n
1111	CAR	Modern world	Person/Thing	i51496	n
1112	SUCCEED	Cognition	Action/Process		v
1113	WRAP	Motion	Action/Process	i29339	v
1114	BULLET	Warfare and hunting	Person/Thing		n
1115	SPEECH	Speech and language	Person/Thing	i74711	n
1116	DAMAGE	Possession	Action/Process	i23012	v
1117	LIKE	Emotions and values	Action/Process		v
1118	ACCUSTOM	Basic actions and technology	Action/Process		v
1119	DIVIDE	Spatial relations	Action/Process	i34058	v
1120	HONEST	Emotions and values	Property		a
1121	SECRET	Cognition	Property		a
1122	WAGES	Possession	Person/Thing	i75031	n
1123	PREGNANT	The body	Property	i934	a
1124	PIPE	Agriculture and vegetation	Person/Thing	i57331	n
1125	BALD	The body	Property		a
1126	CITRUS FRUIT	Agriculture and vegetation	Person/Thing	i77760	n
1127	SEND	Motion	Action/Process	i26731	v
1128	ORDER	Basic actions and technology	Action/Process		v
1129	PAINFUL	Sense perception	Property		a
1130	WE (EXCLUSIVE)	Kinship	Other		n
1131	WE (INCLUSIVE)	Kinship	Other		n
1132	BEAM	The house	Person/Thing	i50617	n
1133	MATCH	The physical world	Person/Thing	i56064	n
1134	DIVORCE	Kinship	Person/Thing	i41678	n
1135	KICK	Motion	Action/Process	i28561	v
1136	RABBIT	Animals	Person/Thing	i47766	n
1137	TENDON	The body	Person/Thing	i64793	n
1138	FAIRY	Religion and belief	Person/Thing		n
1139	LEOPARD	Animals	Person/Thing		n
1140	FATIGUE	The body	Person/Thing		n
1141	PITY	Emotions and values	Person/Thing	i76458	n
1142	URINE	The body	Person/Thing		n
1143	OVEN	Food and drink	Person/Thing	i56823	n
1144	WITNESS	Law	Person/Thing	i94160	n
1145	SWAMP	The physical world	Person/Thing	i86284	n
1146	AUBERGINE	Agriculture and vegetation	Person/Thing		n
1147	PURE	The physical world	Property		a
1148	BRUISE	The body	Person/Thing	i112044	n
1149	ORPHAN	Kinship	Person/Thing	i91775	n
1150	THUNDER	The physical world	Person/Thing	i75573	n
1151	VEIL	Clothing and grooming	Person/Thing	i54705	n
1152	BEGET	The body	Action/Process	i22046	v
1153	CATTLE	Animals	Person/Thing	i48233	n
1154	OLIVE	Agriculture and vegetation	Person/Thing	i101683	n
1155	CAVE	The physical world	Person/Thing	i85180	n
1156	OPEN	Spatial relations	Action/Process	i28422	v
1157	BECAUSE	Cognition	Other		n
1158	STEP	The house	Person/Thing		n
1159	FART	The body	Action/Process	i22281	v
1160	THIEF	Law	Person/Thing	i93630	n
1161	THREAD	Clothing and grooming	Person/Thing	i60206	n
1162	INTENTION	Cognition	Person/Thing	i36268	n
1163	BRIBE (AMOUNT)	Possession	Person/Thing		n
1164	BRIBE (SOMEBODY)	Social and political relations	Action/Process		v
1165	MOUSTACHE	The body	Person/Thing		n
1166	MOULD	Basic actions and technology	Person/Thing		n
1167	GRUEL	Food and drink	Person/Thing		n
1168	HAWTHORN	Agriculture and vegetation	Person/Thing		n
1169	OX	Animals	Person/Thing	i48234	n
1170	TRAP (CATCH)	Warfare and hunting	Action/Process	i29121	v
1171	MIRROR	Clothing and grooming	Person/Thing	i56291	n
1172	SHOOT	Warfare and hunting	Action/Process	i27293	v
1173	EYEBROW	The body	Person/Thing	i64879	n
1174	YESTERDAY	Time	Other	i21696	r
1175	GHOST	Religion and belief	Person/Thing	i86827	n
1176	SPADE	Agriculture and vegetation	Person/Thing	i59249	n
1177	DIARRHEA	The body	Person/Thing		n
1178	NOSTRIL	The body	Person/Thing	i66341	n
1179	DAY AFTER TOMORROW	Time	Other		n
1180	DAY BEFORE YESTERDAY	Time	Other		n
1181	PALM TREE	Agriculture and vegetation	Person/Thing	i103010	n
1182	NOISE	Sense perception	Person/Thing		n
1183	PALM OF HAND	The body	Person/Thing	i66158	n
1184	DIMINISH	Basic actions and technology	Action/Process		v
1185	VULTURE	Animals	Person/Thing	i43805	n
1186	LAST (ENDURE)	Time	Action/Process	i35182	v
1187	GOOSE	Animals	Person/Thing	i45102	n
1188	CHARCOAL	The physical world	Person/Thing	i114153	n
1189	ULCER	The body	Person/Thing		n
1190	HARE	Animals	Person/Thing	i47778	n
1191	COOKED RICE	Food and drink	Person/Thing		n
1192	THREATEN	Speech and language	Action/Process	i25981	v
1193	STEAM	The physical world	Person/Thing	i116291	n
1194	BEAVER	Animals	Person/Thing	i47986	n
1195	GIVE BIRTH	Kinship	Action/Process		v
1196	PENALTY	Law	Person/Thing		n
1197	BABOON	Animals	Person/Thing		n
1198	MANY	Quantity	Other	i8520	a
1199	WIFE	Kinship	Person/Thing	i94123	n
1200	HUSBAND	Kinship	Person/Thing	i90626	n
1201	FEATHER	The body	Person/Thing	i45288	n
1202	BIG	Spatial relations	Property	i7530	a
1203	LONG	Spatial relations	Property	i7833	a
1204	BARK	Agriculture and vegetation	Person/Thing	i105836	n
1205	TONGUE	The body	Person/Thing	i64817	n
1206	BARKING	Animals	Action/Process		v
1207	YOUNG	Time	Property	i9017	a
1208	CAT	Animals	Person/Thing	i46593	n
1209	I	Kinship	Other		n
1210	HEAVY	Sense perception	Property	i6483	a
1211	HE	Kinship	Other		n
1212	WE	Kinship	Other		n
1213	YOU	Kinship	Other		n
1214	THIS	Miscellaneous function words	Other		n
1215	THOU	Kinship	Other		n
1216	MOTHER	Kinship	Person/Thing	i91462	n
1217	FATHER	Kinship	Person/Thing	i89901	n
1218	ROPE	Basic actions and technology	Person/Thing	i58271	n
1219	WORM	Animals	Person/Thing	i45441	n
1220	TAIL	The body	Person/Thing	i46811	n
1221	NOSE	The body	Person/Thing	i66329	n
1222	PENIS	The body	Person/Thing	i65965	n
1223	HEART	The body	Person/Thing	i65294	n
1224	LIVER	The body	Person/Thing	i65277	n
1225	DAY (NOT NIGHT)	Time	Person/Thing	i116858	n
1226	YEAR	Time	Person/Thing	i117116	n
1227	BOARD	The house	Person/Thing	i116565	n
1228	EARTH (SOIL)	The physical world	Person/Thing	i85675	n
1229	OLD	Time	Property	i8999	a
1230	DIRTY	Sense perception	Property	i2378	a
1231	NEW	Time	Property	i8983	a
1232	WARM	Sense perception	Property	i14028	a
1233	NIGHT	Time	Person/Thing	i116919	n
1234	SMOOTH	Sense perception	Property	i12365	a
1235	WHO	Cognition	Other		n
1236	WHAT	Cognition	Other		n
1237	WHERE	Cognition	Other		n
1238	WHEN	Cognition	Other		n
1239	HOW	Cognition	Other		n
1240	NOT	Miscellaneous function words	Other		n
1241	SOME	Quantity	Other	i12553	a
1242	FEW	Quantity	Other	i8526	a
1243	WIDE	Spatial relations	Property	i14204	a
1244	THICK	Spatial relations	Property	i13343	a
1245	BUTTER	Food and drink	Person/Thing	i78414	n
1246	SMALL	Spatial relations	Property	i7579	a
1247	EAR	The body	Person/Thing	i64921	n
1248	EYE	The body	Person/Thing	i64868	n
1249	SPIKE	Agriculture and vegetation	Person/Thing		n
1250	JAGUAR	Animals	Person/Thing	i46641	n
1251	BELLY	The body	Person/Thing	i66121	n
1252	HOUSE	The house	Person/Thing	i54960	n
1253	RAIN (RAINING)	The physical world	Action/Process		v
1254	HANDLE	Basic actions and technology	Person/Thing		n
1255	SNOWING	The physical world	Action/Process		v
1256	HEAD	The body	Person/Thing	i66025	n
1257	WING	The body	Person/Thing	i46774	n
1258	FINGERNAIL	The body	Person/Thing	i66260	n
1259	WEDDING	Kinship	Person/Thing	i40833	n
1260	DAY (24 HOURS)	Time	Person/Thing	i116740	n
1261	SING	Speech and language	Action/Process	i30388	v
1262	BROTHER	Kinship	Person/Thing	i88708	n
1263	SISTER	Kinship	Person/Thing	i93018	n
1264	CHANGE	Spatial relations	Action/Process	i22389	v
1265	HIGH	Spatial relations	Property		a
1266	BRIDE	Kinship	Person/Thing		n
1267	NARROW	Spatial relations	Property	i14212	a
1268	YES	Cognition	Other		n
1269	NO	Cognition	Other	i18282	r
1270	WHY	Cognition	Other		n
1271	DELIGHT	Emotions and values	Action/Process		v
1272	AUNT	Kinship	Person/Thing	i88357	n
1273	CANDLE	The house	Person/Thing	i51431	n
1274	SALT	Food and drink	Person/Thing	i78175	n
1275	ANSWER	Speech and language	Action/Process	i25740	v
1276	AUTUMN	Time	Person/Thing	i117308	n
1277	HAND	The body	Person/Thing	i66153	n
1278	VOMIT	The body	Action/Process	i22154	v
1279	FAT (OBESE)	Spatial relations	Property		a
1280	FALL	Motion	Action/Process	i31590	v
1281	PRISON	Law	Person/Thing	i57685	n
1282	FAT (FROM ANIMALS)	Food and drink	Person/Thing		n
1283	TODAY	Time	Other	i19571	r
1284	BANK	Modern world	Person/Thing	i81364	n
1285	IMPORTANT	Emotions and values	Property		a
1286	HOT	Sense perception	Property	i6824	a
1287	COLD	Sense perception	Property	i6846	a
1288	CAP	Clothing and grooming	Person/Thing		n
1289	BABY	Kinship	Person/Thing	i88382	n
1290	ELEPHANT	Animals	Person/Thing	i48832	n
1291	BACK	The body	Person/Thing	i66129	n
1292	BAD	Emotions and values	Property	i6173	a
1293	MISTAKE	Emotions and values	Person/Thing	i35783	n
1294	ZERO	Quantity	Number		a
1295	STICK	The physical world	Person/Thing		n
1296	WALKING STICK	Modern world	Person/Thing	i60925	n
1297	LEG	The body	Person/Thing	i66139	n
1298	NEWSPAPER	Modern world	Person/Thing	i69441	n
1299	COFFEE	Food and drink	Person/Thing	i78981	n
1300	COUNTRY	Social and political relations	Person/Thing	i81888	n
1301	FOOT	The body	Person/Thing	i66149	n
1302	FORK	Food and drink	Person/Thing	i53987	n
1303	FINGER	The body	Person/Thing	i66162	n
1304	CHILD (YOUNG HUMAN)	Kinship	Person/Thing	i88964	n
1305	CHIMNEY	The house	Person/Thing	i51847	n
1306	QUEEN	Social and political relations	Person/Thing	i92393	n
1307	LANGUAGE	Speech and language	Person/Thing	i69527	n
1308	DOUBT	Cognition	Person/Thing	i66857	n
1309	ASK (INQUIRE)	Speech and language	Action/Process	i26103	v
1310	CLEVER	Cognition	Property		a
1311	VERY	Miscellaneous function words	Other		n
1312	FOX	Animals	Person/Thing	i46575	n
1313	MOON	The physical world	Person/Thing	i85806	n
1314	QUIET	Sense perception	Property	i10525	a
1315	RADIO	Modern world	Person/Thing	i57905	n
1316	TENT	The house	Person/Thing	i60123	n
1317	RAISE	Motion	Action/Process		v
1318	CHICKEN	Animals	Person/Thing	i44707	n
1319	COWARD	Emotions and values	Person/Thing		n
1320	APPLE	Agriculture and vegetation	Person/Thing		n
1321	BOTTLE	Modern world	Person/Thing	i50995	n
1322	BREAKFAST	Food and drink	Person/Thing	i76564	n
1323	CLOCK	Time	Person/Thing	i52025	n
1324	SLIP	Motion	Action/Process	i31056	v
1325	FRIEND	Social and political relations	Person/Thing	i90098	n
1326	DOWN	Spatial relations	Other	i18734	r
1327	UNCLE	Kinship	Person/Thing	i93825	n
1328	SCISSORS	Basic actions and technology	Person/Thing		n
1329	TOMORROW	Time	Other	i21466	r
1330	DEFEND	Warfare and hunting	Action/Process	i27252	v
1331	SHEEP	Animals	Person/Thing	i48291	n
1332	NEIGHBOUR	Social and political relations	Person/Thing	i91579	n
1333	NECK	The body	Person/Thing	i66067	n
1334	GUTS	The body	Person/Thing		n
1335	WHITE	Sense perception	Property	i2223	a
1336	EAT	Food and drink	Action/Process	i27459	v
1337	PIG	Animals	Person/Thing	i48199	n
1338	PEACE	Warfare and hunting	Person/Thing	i110351	n
1339	MORNING	Time	Person/Thing	i116908	n
1340	WITH	Miscellaneous function words	Other		n
1341	HEAT UP	The physical world	Action/Process		v
1342	SUMMER	Time	Person/Thing	i117310	n
1343	SUN	The physical world	Person/Thing	i86272	n
1344	RAM	Animals	Person/Thing	i48293	n
1345	EWE	Animals	Person/Thing	i48292	n
1346	THROAT	The body	Person/Thing	i66072	n
1347	NAPE (OF NECK)	The body	Person/Thing	i66071	n
1348	BOAR (MALE PIG)	Animals	Person/Thing	i48206	n
1349	CHURCH	Religion and belief	Person/Thing	i51914	n
1350	MONKEY	Animals	Person/Thing	i48720	n
1351	SOW (FEMALE PIG)	Animals	Person/Thing	i48204	n
1352	KNIFE	Food and drink	Person/Thing	i55422	n
1353	HOUR	Time	Person/Thing	i117257	n
1354	NEXT	Miscellaneous function words	Other		n
1355	LAUGH	Emotions and values	Action/Process	i21925	v
1356	NUMBER	Modern world	Person/Thing	i108079	n
1357	DAUGHTER	Kinship	Person/Thing	i89398	n
1358	ENEMY	Social and political relations	Person/Thing	i90012	n
1359	SEPARATE	Spatial relations	Action/Process	i29513	v
1360	DUCK	Animals	Person/Thing	i45045	n
1361	TOOL	Basic actions and technology	Person/Thing	i36325	n
1362	STREET	Modern world	Person/Thing	i59671	n
1363	VOICE	Speech and language	Person/Thing	i74026	n
1364	HEALTHY	The body	Property	i6398	a
1365	KITCHEN	The house	Person/Thing		n
1366	BOY	Kinship	Person/Thing	i91171	n
1367	CROSS	Spatial relations	Person/Thing	i61655	n
1368	BREAD	Food and drink	Person/Thing	i77313	n
1369	GOLD	Basic actions and technology	Person/Thing	i113938	n
1370	MONTH	Time	Person/Thing	i117150	n
1371	KNEE	The body	Person/Thing	i66201	n
1372	MEDICINE	The body	Person/Thing	i56119	n
1373	TEA	Modern world	Person/Thing	i79004	n
1374	RING	Clothing and grooming	Person/Thing	i58184	n
1375	WINDOW	The house	Person/Thing	i61169	n
1376	NOW	Time	Other	i18426	r
1377	VISIT	Social and political relations	Action/Process		v
1378	SPOON	Food and drink	Person/Thing	i59365	n
1379	TELEPHONE	Modern world	Person/Thing	i60065	n
1380	TOOTH	The body	Person/Thing	i64724	n
1381	SHOE	Clothing and grooming	Person/Thing	i58817	n
1382	NEEDLE (FOR SEWING)	Clothing and grooming	Person/Thing	i56548	n
1383	GRANDFATHER	Kinship	Person/Thing	i90287	n
1384	SECOND	Quantity	Other		n
1385	PEPPER	Food and drink	Person/Thing	i78192	n
1386	LION	Animals	Person/Thing	i46642	n
1387	ARRIVE	Motion	Action/Process	i31766	v
1388	SHADE	The physical world	Person/Thing	i110428	n
1389	TOE	The body	Person/Thing	i66223	n
1390	WRONG	Emotions and values	Property		a
1391	TOWN	Social and political relations	Person/Thing	i82504	n
1392	LOUSE	Animals	Person/Thing		n
1393	HORN (ANATOMY)	The body	Person/Thing	i42319	n
1394	BONE	The body	Person/Thing	i64659	n
1395	ROUND	Spatial relations	Property	i11179	a
1396	SHARP	Sense perception	Property	i4410	a
1397	DULL	Sense perception	Property		a
1398	DRY	Sense perception	Property	i14155	a
1399	CLAY	Basic actions and technology	Person/Thing	i114890	n
1400	THIN (SLIM)	Spatial relations	Property		a
1401	DRINK	Food and drink	Action/Process	i27466	v
1402	BREAST	The body	Person/Thing	i66106	n
1403	BITE	The body	Action/Process	i28957	v
1404	STRAIGHT	Spatial relations	Property	i12795	a
1405	NAME	Speech and language	Person/Thing	i69761	n
1406	FAR	Spatial relations	Property	i18771	r
1407	BREATHE	The body	Action/Process	i21778	v
1408	HEAR	Sense perception	Action/Process	i32603	v
1409	SEE	Sense perception	Action/Process	i32402	v
1410	KNOW (SOMETHING)	Cognition	Action/Process	i24736	v
1411	LIE (REST)	Spatial relations	Action/Process		v
1412	RUDE	Emotions and values	Property		a
1413	PLAY	Emotions and values	Action/Process	i33829	v
1414	SQUEEZE	Basic actions and technology	Action/Process	i28966	v
1415	THINK (REFLECT)	Cognition	Action/Process	i24893	v
1416	SIT	Spatial relations	Action/Process	i31660	v
1417	KILL	The body	Action/Process	i28310	v
1418	DIG	Agriculture and vegetation	Action/Process	i28232	v
1419	FEAR (BE AFRAID)	Emotions and values	Action/Process		v
1420	COUNT	Quantity	Action/Process	i26340	v
1421	SUCK	Food and drink	Action/Process	i27465	v
1422	BE ALIVE	The body	Action/Process		v
1423	FIGHT	Warfare and hunting	Action/Process	i27047	v
1424	YELLOW	Sense perception	Property		a
1425	GREEN	Sense perception	Property		a
1426	EXPENSIVE	Possession	Property	i5114	a
1427	BEAUTIFUL	Emotions and values	Property	i1196	a
1428	BURNING	The physical world	Action/Process	i23619	v
1429	FULL	Quantity	Property	i5947	a
1430	STAR	The physical world	Person/Thing	i86240	n
1431	FREEZE	The physical world	Action/Process	i23605	v
1432	CUT	Basic actions and technology	Action/Process	i29494	v
1433	HIT	Basic actions and technology	Action/Process		v
1434	STAB	Basic actions and technology	Action/Process	i27781	v
1435	HUNT	Warfare and hunting	Action/Process	i27338	v
1436	SCRATCH	The body	Action/Process	i32356	v
1437	SPLIT	Basic actions and technology	Action/Process	i29512	v
1438	FOOL	Social and political relations	Person/Thing		n
1439	SWIM	Motion	Action/Process	i31534	v
1440	SPIT	The body	Action/Process	i22283	v
1441	FLY (MOVE THROUGH AIR)	Motion	Action/Process	i31423	v
1442	STAND	Spatial relations	Action/Process	i29462	v
1443	WALK	Motion	Action/Process	i31244	v
1444	TURN AROUND	Motion	Action/Process	i31102	v
1445	TURN (SOMETHING)	Motion	Action/Process	i32202	v
1446	COME	Motion	Action/Process	i31766	v
1447	GIVE	Possession	Action/Process	i32755	v
1448	HOLD	Possession	Action/Process	i27706	v
1449	RUB	Basic actions and technology	Action/Process	i27888	v
1450	ROOM	The house	Person/Thing	i58265	n
1451	SMILE	Emotions and values	Action/Process	i21904	v
1452	PUSH	Motion	Action/Process	i31065	v
1453	WASH	Basic actions and technology	Action/Process	i29407	v
1454	WIPE	Basic actions and technology	Action/Process	i28679	v
1455	PULL	Basic actions and technology	Action/Process	i28967	v
1456	THROW	Motion	Action/Process	i29284	v
1457	SEW	Clothing and grooming	Action/Process	i28331	v
1458	SAY	Speech and language	Action/Process	i26659	v
1459	IF	Cognition	Other		n
1460	IN	Spatial relations	Other		n
1461	AT	Spatial relations	Other		n
1462	POT	Food and drink	Person/Thing	i57594	n
1463	DRUNK	The body	Property	i4390	a
1464	LADDER	The house	Person/Thing	i55474	n
1465	BOX	Modern world	Person/Thing		n
1466	EXACT	Emotions and values	Property		a
1467	CIRCLE	Spatial relations	Person/Thing	i109836	n
1468	LOOK FOR	Possession	Action/Process	i28263	v
1469	WEEK	Time	Person/Thing	i116937	n
1470	FOLD	Basic actions and technology	Action/Process	i28055	v
1471	WINTER	Time	Person/Thing	i117312	n
1472	KEY	The house	Person/Thing	i55358	n
1473	FIST	The body	Person/Thing		n
1474	SEA	The physical world	Person/Thing	i86143	n
1475	COMB	Clothing and grooming	Person/Thing	i52194	n
1476	CHAIR	The house	Person/Thing	i51746	n
1477	KEEP	Possession	Action/Process	i32766	v
1478	WITHOUT	Miscellaneous function words	Other		n
1479	DOLPHIN	Animals	Person/Thing	i46274	n
1480	BODY	The body	Person/Thing	i64381	n
1481	HAMMER	Basic actions and technology	Person/Thing	i54582	n
1482	SHOULDER	The body	Person/Thing	i66079	n
1483	NINE	Quantity	Number		a
1484	OIL (ORGANIC SUBSTANCE)	Food and drink	Person/Thing	i115790	n
1485	BELOW OR UNDER	Spatial relations	Other		n
1486	PLANT (SOMETHING)	Agriculture and vegetation	Action/Process	i29566	v
1487	POUR	Basic actions and technology	Action/Process	i32094	v
1488	FAUCET	Modern world	Person/Thing	i53616	n
1489	CLOUD	The physical world	Person/Thing	i85226	n
1490	RAT	Animals	Person/Thing		n
1491	MOUSE	Animals	Person/Thing		n
1492	DUMB	The body	Property		a
1493	ONE	Quantity	Number		a
1494	DIE	The body	Action/Process	i23529	v
1495	HAPPY	Emotions and values	Property	i6282	a
1496	GRANDMOTHER	Kinship	Person/Thing	i90289	n
1497	POSTCARD	Modern world	Person/Thing	i71313	n
1498	TWO	Quantity	Number		a
1499	JUICE	Food and drink	Person/Thing		n
1500	FOUR	Quantity	Number		a
1501	BORE	Basic actions and technology	Action/Process	i28941	v
1502	GOAT	Animals	Person/Thing	i48325	n
1503	SALIVA	The body	Person/Thing		n
1504	FLY (INSECT)	Animals	Person/Thing	i46989	n
1505	SPERM	The body	Person/Thing		n
1506	MEASURE	Spatial relations	Action/Process	i24969	v
1507	FRUIT	Agriculture and vegetation	Person/Thing	i105676	n
1508	KING	Social and political relations	Person/Thing	i90847	n
1509	MOSQUITO	Animals	Person/Thing	i47049	n
1510	CHIN	The body	Person/Thing	i66337	n
1511	ROOSTER	Animals	Person/Thing	i44710	n
1512	RISE (ONESELF)	Motion	Action/Process		v
1513	THINK (BELIEVE)	Cognition	Action/Process	i24904	v
1514	HEN	Animals	Person/Thing	i44714	n
1515	TEN	Quantity	Number		a
1516	SUBJUGATE	Social and political relations	Action/Process		v
1517	WASP	Animals	Person/Thing	i47117	n
1518	STUPID	Cognition	Property	i2478	a
1519	RUN	Motion	Action/Process	i31347	v
1520	CRUSH	Food and drink	Action/Process		v
1521	SEEM	Cognition	Action/Process	i32420	v
1522	SOCK	Clothing and grooming	Person/Thing		n
1523	FORGET	Cognition	Action/Process	i24805	v
1524	WINE	Food and drink	Person/Thing	i78715	n
1525	COAST	The physical world	Person/Thing		n
1526	MEAL	Food and drink	Person/Thing		n
1527	TICK	Animals	Person/Thing	i44624	n
1528	FORGIVE	Emotions and values	Action/Process	i26134	v
1529	LAST (FINAL)	Quantity	Other	i5545	a
1530	BOWL	Food and drink	Person/Thing	i51022	n
1531	BRANCH	Agriculture and vegetation	Person/Thing	i105840	n
1532	SHEAR	Animals	Action/Process		v
1533	BE HUNGRY	Food and drink	Action/Process		v
1534	FEVER	The body	Person/Thing	i112490	n
1535	SWORD	Warfare and hunting	Person/Thing	i59896	n
1536	UNDERSTAND	Cognition	Action/Process	i24710	v
1537	SPRINGTIME	Time	Person/Thing	i117309	n
1538	SCORPION	Animals	Person/Thing	i44592	n
1539	BASKET	Basic actions and technology	Person/Thing	i50522	n
1540	EYELASH	The body	Person/Thing	i64888	n
1541	CULTIVATE	Agriculture and vegetation	Action/Process	i30442	v
1542	ACCOMPANY	Motion	Action/Process		v
1543	SNAIL	Animals	Person/Thing	i45553	n
1544	SOMETIMES	Time	Other	i18266	r
1545	HOST	Social and political relations	Person/Thing	i90580	n
1546	TWICE	Quantity	Other	i18532	r
1547	SOUP	Food and drink	Person/Thing	i76617	n
